X,Y,OBJECTID,KOD,NAZEV,TYP,POCET,OP_TYP,URCENO,ZMENA_G,ZMENA_T
15.2725340756912,49.1234387198754,1,102952,Smrky v lese u Heřmanče,3,2,VYH,0,20100114,20100921
17.7357091702506,49.2982553226805,2,100984,Lípy u Jána,3,7,VYH,0,20100325,20120330
16.158507672249,49.1836560250972,3,100700,Smrky u Vlasákovy hájenky,3,2,ZAK,0,20100315,20120221
16.0010807636851,49.1673018443192,4,100705,Lípy u Třebenic,3,4,ZAK,0,20100315,20100315
14.0578362391414,48.9812932136411,5,102785,Buk lesní (3ks),3,3,VYH,0,20100224,20110809
15.7567346683093,49.125399585674,6,100764,Výstavky dubů v lese Háj,3,5,ZAK,0,20100315,20120120
16.1633647772506,49.1548696027286,7,100741,Buky na Vlčím kopci,3,2,ZAK,0,20100315,20120222
16.5292029627816,49.176421081755,8,101069,Skupina 34 lip,3,34,ZAK,0,20100512,20210118
15.7550770129129,49.115331312978,9,100734,Skupina dubů v Oboře,3,17,ZAK,0,20100315,20120120
16.9461927377746,49.1930055568164,10,100657,"23 ks lip srdčitých, 1 ks jírovce maďalu a 2 ks trnovníku akátu",3,26,VYH,0,20100512,20120423
14.8571374862728,49.0069408626953,11,102975,Alej na hrázi Nové řeky,3,96,VYH,0,20100921,20130723
17.3247809789375,49.2163000859066,12,100847,Lipky svobody,3,5,ZAK,0,20100317,20120222
16.0598637028842,49.1015234942061,13,100771,Duby u Hrotovic,3,60,ZAK,0,20100315,20120330
16.0729053184541,49.0971288745321,14,100746,Duby v Hrotovicích,3,4,ZAK,0,20100315,20190815
16.0491103145884,49.0859204543176,15,100744,Duby u Mlýnského potoka,3,2,ZAK,0,20100315,20120120
18.0231172323768,49.1482350227379,16,101020,CHPV - 10 lípy u kapličky v Poteči,3,10,ZAK,0,20100330,20120321
17.2926084601635,49.0775421482172,17,100667,Duby pod táborem,3,3,VYH,0,20100318,20100922
